,time_s,well,rtdp_fluor,concentration,fold_dilution,media,name,replicate,plate,date,blanked_rtdp_fluor,expected_blanked_rtdp_fluor,estimated_true_rtdp_fluor,F0_F_ratio,F_F0_ratio,u_blanked_rtdp_fluor,u_expected_blanked_rtdp_fluor,u_estimated_true_rtdp_fluor,u_F0_F_ratio,u_F_F0_ratio
0,0.0,A1,2055,0.900900901,1,MM gluc+AA,PA14 WT,1,1,5/27/22,2053.9322916666665,4081.4785566816818,2007.1464433183182,2.0101635940738687,0.49747194852602244,0.25190158124109224,161.84823714338478,0.02496321976263076,0.08063591291922134,0.019955641838982387
1,74.683,A1,2055,0.900900901,1,MM gluc+AA,PA14 WT,1,1,5/27/22,2053.9322916666665,4082.3794575825827,2006.2455424174173,2.0110662543687186,0.49724865992239714,0.25190158124109224,161.84823714338478,0.02496321976263076,0.08067212233229958,0.01994668481741474
2,149.369,A1,2031,0.900900901,1,MM gluc+AA,PA14 WT,1,1,5/27/22,2029.9322916666667,4082.3794575825827,1982.2455424174175,2.0354152005875545,0.4913002515218194,0.25190158124109224,161.84823714338478,0.02496321976263076,0.08164885860650199,0.01970806976299692
3,224.057,A1,2037,0.900900901,1,MM gluc+AA,PA14 WT,1,1,5/27/22,2035.9322916666667,4082.3794575825827,1988.2455424174175,2.02927285501555,0.49278735362196385,0.25190158124109224,161.84823714338478,0.02496321976263076,0.08140246388851964,0.01976772352657508
4,0.0,A2,2536,0.45045045,2,MM gluc+AA,PA14 WT,1,1,5/27/22,2534.9322916666665,4065.2623404654655,2504.3626595345345,1.611065670929317,0.6207071617528578,0.25190158124109224,161.84823714338478,0.02496321976263076,0.06462645592525847,0.024899111659659513
5,74.683,A2,2516,0.45045045,2,MM gluc+AA,PA14 WT,1,1,5/27/22,2514.9322916666665,4064.3614395645645,2485.2635604354355,1.6234466124898348,0.6159734433560017,0.25190158124109224,161.84823714338478,0.02496321976263076,0.065123106334046,0.02470922279920217
6,149.369,A2,2479,0.45045045,2,MM gluc+AA,PA14 WT,1,1,5/27/22,2477.9322916666665,4064.3614395645645,2448.2635604354355,1.6479813585167047,0.6068029804051108,0.25190158124109224,161.84823714338478,0.02496321976263076,0.06610729575213724,0.024341357917436895
7,224.057,A2,2483,0.45045045,2,MM gluc+AA,PA14 WT,1,1,5/27/22,2481.9322916666665,4064.3614395645645,2452.2635604354355,1.6452932602468369,0.6077943818052072,0.25190158124109224,161.84823714338478,0.02496321976263076,0.06599946509138876,0.02438112709382692
8,0.0,A3,2722,0.225225225,4,MM gluc+AA,PA14 WT,1,1,5/27/22,2720.9322916666665,4049.9470251501502,2705.6779748498498,1.4911947193409951,0.6706032331189657,0.25190158124109224,161.84823714338478,0.02496321976263076,0.05981793983829417,0.02690064773821323
9,74.683,A3,2681,0.225225225,4,MM gluc+AA,PA14 WT,1,1,5/27/22,2679.9322916666665,4049.9470251501502,2664.6779748498498,1.514138949026545,0.6604413687679787,0.25190158124109224,161.84823714338478,0.02496321976263076,0.06073832710056995,0.026493013678016396
10,149.369,A3,2650,0.225225225,4,MM gluc+AA,PA14 WT,1,1,5/27/22,2648.9322916666665,4049.9470251501502,2633.6779748498498,1.5319612902041897,0.6527580079172324,0.25190158124109224,161.84823714338478,0.02496321976263076,0.06145325438576264,0.026184802559557283
11,224.057,A3,2647,0.225225225,4,MM gluc+AA,PA14 WT,1,1,5/27/22,2645.9322916666665,4049.9470251501502,2630.6779748498498,1.53370832420628,0.6520144568671601,0.25190158124109224,161.84823714338478,0.02496321976263076,0.06152333509318126,0.026154975677136393
12,0.0,A4,2908,0.112612613,8,MM gluc+AA,PA14 WT,1,1,5/27/22,2906.9322916666665,4042.7398179429433,2898.8851820570567,1.3918083866537634,0.718489707052446,0.25190158124109224,161.84823714338478,0.02496321976263076,0.05583114597691789,0.028821570628556042
13,74.683,A4,2869,0.112612613,8,MM gluc+AA,PA14 WT,1,1,5/27/22,2867.9322916666665,4042.7398179429433,2859.8851820570567,1.4107883538986212,0.7088235434015071,0.25190158124109224,161.84823714338478,0.02496321976263076,0.056592510387337425,0.028433821155303993
14,149.369,A4,2826,0.112612613,8,MM gluc+AA,PA14 WT,1,1,5/27/22,2824.9322916666665,4042.7398179429433,2816.8851820570567,1.432324162175102,0.6981659783504718,0.25190158124109224,161.84823714338478,0.02496321976263076,0.05745640007656952,0.02800630250559881
15,224.057,A4,2826,0.112612613,8,MM gluc+AA,PA14 WT,1,1,5/27/22,2824.9322916666665,4042.7398179429433,2816.8851820570567,1.432324162175102,0.6981659783504718,0.25190158124109224,161.84823714338478,0.02496321976263076,0.05745640007656952,0.02800630250559881
16,0.0,A5,2629,0.900900901,1,MM gluc+AA,PS,1,1,5/27/22,2627.9322916666665,4044.541619744745,2618.083380255255,1.5410864064764673,0.6488928821884785,0.25190158124109224,161.84823714338478,0.02496321976263076,0.06181930026874587,0.02602975651311998
17,74.683,A5,2591,0.900900901,1,MM gluc+AA,PS,1,1,5/27/22,2589.9322916666665,4044.541619744745,2580.083380255255,1.5637838448206156,0.6394745688875637,0.25190158124109224,161.84823714338478,0.02496321976263076,0.06272978772192653,0.02565194933605988
18,149.369,A5,2556,0.900900901,1,MM gluc+AA,PS,1,1,5/27/22,2554.9322916666665,4044.541619744745,2545.083380255255,1.5852890084601787,0.6307998066367211,0.25190158124109224,161.84823714338478,0.02496321976263076,0.06359244814306397,0.025303969041685373
19,224.057,A5,2551,0.900900901,1,MM gluc+AA,PS,1,1,5/27/22,2549.9322916666665,4044.541619744745,2540.083380255255,1.588409553676889,0.6295605548866007,0.25190158124109224,161.84823714338478,0.02496321976263076,0.06371762602590551,0.025254257571083523
20,0.0,A6,2871,0.45045045,2,MM gluc+AA,PS,1,1,5/27/22,2869.9322916666665,4040.9380161411414,2863.6869838588586,1.4089154055854693,0.7097658213088058,0.25190158124109224,161.84823714338478,0.02496321976263076,0.056517378740848556,0.028471619787243333
21,74.683,A6,2818,0.45045045,2,MM gluc+AA,PS,1,1,5/27/22,2816.9322916666665,4040.9380161411414,2810.6869838588586,1.4354827597322874,0.6966297527575298,0.25190158124109224,161.84823714338478,0.02496321976263076,0.05758310439295662,0.027944678195757328
22,149.369,A6,2788,0.45045045,2,MM gluc+AA,PS,1,1,5/27/22,2786.9322916666665,4040.9380161411414,2780.6869838588586,1.450969753788773,0.6891942422568076,0.25190158124109224,161.84823714338478,0.02496321976263076,0.05820435131066981,0.027646409370602067
23,224.057,A6,2773,0.45045045,2,MM gluc+AA,PS,1,1,5/27/22,2771.9322916666665,4040.9380161411414,2765.6869838588586,1.4588392438770779,0.6854764870064465,0.25190158124109224,161.84823714338478,0.02496321976263076,0.058520028868845705,0.027497274958084555
24,0.0,A7,3390,0.225225225,4,MM gluc+AA,PS,1,1,5/27/22,3388.9322916666665,4039.1362143393394,3384.4887856606606,1.1921128902620226,0.8388467301785514,0.25190158124109224,161.84823714338478,0.02496321976263076,0.04782053982926353,0.033649584530819
25,74.683,A7,3386,0.225225225,4,MM gluc+AA,PS,1,1,5/27/22,3384.9322916666665,4039.1362143393394,3380.4887856606606,1.1935234707618827,0.8378553287784551,0.25190158124109224,161.84823714338478,0.02496321976263076,0.04787712400330569,0.03360981535381941
26,149.369,A7,3345,0.225225225,4,MM gluc+AA,PS,1,1,5/27/22,3343.9322916666665,4039.1362143393394,3339.4887856606606,1.2081767501833784,0.827693464427468,0.25190158124109224,161.84823714338478,0.02496321976263076,0.04846492719052269,0.03320218128966657
27,224.057,A7,3339,0.225225225,4,MM gluc+AA,PS,1,1,5/27/22,3337.9322916666665,4039.1362143393394,3333.4887856606606,1.2103513669189387,0.8262063623273236,0.25190158124109224,161.84823714338478,0.02496321976263076,0.04855215999434045,0.03314252752419522
28,0.0,A8,3266,0.112612613,8,MM gluc+AA,PS,1,1,5/27/22,3264.9322916666665,4036.433511636637,3263.191488363363,1.236425359259843,0.808783152586442,0.25190158124109224,161.84823714338478,0.02496321976263076,0.04959809485919232,0.032443611110105595
29,74.683,A8,3255,0.112612613,8,MM gluc+AA,PS,1,1,5/27/22,3253.9322916666665,4036.433511636637,3252.191488363363,1.2406073636099937,0.8060567987361771,0.25190158124109224,161.84823714338478,0.02496321976263076,0.049765852220757814,0.032334245873501255
30,149.369,A8,3222,0.112612613,8,MM gluc+AA,PS,1,1,5/27/22,3220.9322916666665,4036.433511636637,3219.191488363363,1.2533248559204446,0.7978777371853826,0.25190158124109224,161.84823714338478,0.02496321976263076,0.05027600304287587,0.03200615016377005
31,224.057,A8,3237,0.112612613,8,MM gluc+AA,PS,1,1,5/27/22,3235.9322916666665,4036.433511636637,3234.191488363363,1.2475120050405728,0.8015954924357438,0.25190158124109224,161.84823714338478,0.02496321976263076,0.05004282573215003,0.03215528457726888
32,0.0,A9,2959,0.900900901,1,MM gluc+AA,CG,1,1,5/27/22,2957.9322916666665,4042.7398179429433,2949.8851820570567,1.3677456779927288,0.7311300749036738,0.25190158124109224,161.84823714338478,0.02496321976263076,0.05486589194263326,0.029328627632400812
33,74.683,A9,2928,0.900900901,1,MM gluc+AA,CG,1,1,5/27/22,2926.9322916666665,4043.640718843844,2917.984281156156,1.382698575310597,0.7232234254493023,0.25190158124109224,161.84823714338478,0.02496321976263076,0.055465714043177156,0.029011459490574203
34,149.369,A9,2851,0.900900901,1,MM gluc+AA,CG,1,1,5/27/22,2849.9322916666665,4043.640718843844,2840.984281156156,1.420174245628487,0.7041389484974485,0.25190158124109224,161.84823714338478,0.02496321976263076,0.05696901703991286,0.028245902838257203
35,224.057,A9,2860,0.900900901,1,MM gluc+AA,CG,1,1,5/27/22,2858.9322916666665,4043.640718843844,2849.984281156156,1.4156894601175047,0.7063696016476652,0.25190158124109224,161.84823714338478,0.02496321976263076,0.05678911388001344,0.028335383485880754
36,0.0,A10,3178,0.45045045,2,MM gluc+AA,CG,1,1,5/27/22,3176.9322916666665,4039.1362143393394,3172.4887856606606,1.2717752467935428,0.7863024559734475,0.25190158124109224,161.84823714338478,0.02496321976263076,0.05101612396103174,0.03154181815217948
37,74.683,A10,3221,0.45045045,2,MM gluc+AA,CG,1,1,5/27/22,3219.9322916666665,4039.1362143393394,3215.4887856606606,1.2547680857497867,0.7969600210244827,0.25190158124109224,161.84823714338478,0.02496321976263076,0.05033389691585302,0.03196933680404549
